id,protocol,measurement,mode,parameter,units,avg,std,instance_1,instance_2
3-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.416797,0.193902,1.553906,1.279688
10-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-18.984033,1.890667,-20.320937,-17.647129
10-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-17.112368,2.268801,-18.716652,-15.508083
10-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,227.808395,45.376017,259.894084,195.722705
10-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,350.803538,15.125339,361.498767,340.108308
10-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.096875,0.193902,0.959766,1.233984
10-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.393945,0.03231699,1.371094,1.416797
10-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.633398,0.09695097,3.701953,3.564844
10-0,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.62793,0.161585,2.742188,2.513672
10-0,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.16543,0.09695097,1.233984,1.096875
10-0,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.416797,0.129268,1.325391,1.508203
1-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-16.042845,0.0,-16.042845,-16.042845
1-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-10.427849,0.378133,-10.69523,-10.160468
1-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,305.348811,18.906674,291.979774,318.717848
1-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,404.279687,7.56267,398.932072,409.627302
1-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.233984,0.258536,1.051172,1.416797
1-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.439648,0.03231699,1.416797,1.4625
1-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.679102,0.161585,3.793359,3.564844
1-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.787891,0.129268,2.696484,2.879297
1-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.279688,0.0,1.279688,1.279688
1-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.348242,0.03231699,1.325391,1.371094
1-f,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-15.508083,0.0,-15.508083,-15.508083
1-f,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-16.042845,0.756267,-16.577606,-15.508083
1-f,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,135.53995,3.536576,138.040687,133.039213
1-f,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,420.623978,31.829187,398.117344,443.130612
1-f,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.393945,0.03231699,1.371094,1.416797
1-f,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.828125,0.258536,2.010937,1.645312
1-f,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.153516,0.0,3.153516,3.153516
1-f,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.308008,0.226219,2.148047,2.467969
1-f,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.302539,0.03231699,1.279688,1.325391
1-f,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.485352,0.03231699,1.508203,1.4625
9-a,MV Flow,LVAW;d,M-Mode,Depth,mm,0.936914,0.161585,0.822656,1.051172
9-a,MV Flow,LVAW;s,M-Mode,Depth,mm,1.348242,0.161585,1.233984,1.4625
9-a,MV Flow,LVID;d,M-Mode,Depth,mm,3.427734,0.06463398,3.473437,3.382031
9-a,MV Flow,LVID;s,M-Mode,Depth,mm,2.376562,0.06463398,2.422266,2.330859
9-a,MV Flow,LVPW;d,M-Mode,Depth,mm,1.074023,0.03231699,1.096875,1.051172
9-a,MV Flow,LVPW;s,M-Mode,Depth,mm,1.325391,0.0,1.325391,1.325391
13-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-23.529506,0.0,-23.529506,-23.529506
13-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-15.775464,1.890667,-14.43856,-17.112368
13-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,487.167718,18.906674,500.536755,473.79868
13-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,706.419929,49.157352,741.179425,671.660432
13-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.256836,0.03231699,1.233984,1.279688
13-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.599609,0.193902,1.736719,1.4625
13-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,2.742188,0.129268,2.650781,2.833594
13-0,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.805273,0.161585,1.691016,1.919531
13-0,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,2.079492,0.161585,2.19375,1.965234
13-0,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,2.148047,0.193902,2.285156,2.010937
4-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-24.064267,0.0,-24.064267,
4-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-11.229991,0.0,-11.229991,
4-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,217.113165,15.125339,206.417935,227.808395
4-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,468.451065,37.813348,441.712991,495.18914
4-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.89668,0.226219,1.736719,2.056641
4-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,2.010937,0.193902,2.148047,1.873828
4-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,2.879297,0.193902,3.016406,2.742187
4-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.668164,0.226219,1.508203,1.828125
4-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.119727,0.161585,1.005469,1.233984
